title,sourceURL,imageURL,artist,nationality,materials,dimensions,creationDate,galleryLabel,provenance,relatedArtworksURL,relatedArtworksTitle,birthDate,deathDate,EA_id
Joy of the Waters,http://www.imamuseum.org/art/collections/artwork/joy-waters-frishmuth-harriet-whitney,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b4/b42f9a2c-2c39-4f1b-bd1a-5283cec26a29.jpg,"Frishmuth, Harriet Whitney",American,bronze,H: 61 in.,,,,,,1880,1980,f480c52df8c9
Concave or Standing Woman,http://www.imamuseum.org/art/collections/artwork/concave-or-standing-woman-archipenko-alexander,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/60/6079be07-d6e7-4782-8141-51cbcac8ef28.jpg,"Archipenko, Alexander",American,bronze with green patina,H: 12 3/4 in.,1917,"This female figure, an elegantly abstracted form from the prime of the artist's career in Paris, reflects Archipenko's innovative exploration of form and space, void and concavity.
As Archipenko observed: ""in art the shape of the empty space should be no less important than the meaning of the shape of solid matter.""","Purchase from Perls Gallery, New York, on April 6, 1962, by Frank C. Springer, Jr. and Irving Moxley Springer, Indianapolis, for $2,070
Partial gift to the IMA from Frank C. Springer, from 1991 through 2006.",http://www.imamuseum.org/art/collections/artwork/klage-georg-kolbe,Klage,1887,1964,259e24ebceb1
Henry Look Unhitching,http://www.imamuseum.org/art/collections/artwork/henry-look-unhitching-benton-thomas-hart,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/80/8008f171-7a03-4d8c-856c-31a1ba61e1ac.jpg,"Benton, Thomas Hart",American,oil on canvas,,about 1942,"Benton was the leader of the Regionalist artists who favored images of America, especially the rural Midwest.
The rhythmic curving lines of the composition suggest the vitality of nature and are characteristic of Benton閳ユ ?work .",Owned by Mr. and Mrs. Joseph Cantor,,,1889,1975,0c6d38adaa15
"New York, New Haven and Hartford",http://www.imamuseum.org/art/collections/artwork/new-york-new-haven-and-hartford-hopper-edward,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/8a/8a66776f-02fd-44d0-9760-e5576e257fb4.jpg,"Hopper, Edward",American,oil on canvas,,1931,"Although Hopper is best known for his views of New York interiors and buildings, he also painted landscapes that capture the starkness of rural New England.
Devoid of people, Hopper閳ユ ?landscapes have an abandoned atmosphere that echoes the loneliness and isolation of his urban scenes.
This canvas, named after the East Coast railroad line, was painted during the Depression and depicts a landscape and desolate house along the railroad tracks. The prominence of the tracks suggests Hopper閳ユ ?recurring theme of transience and the solitude of the traveler.","From the artist to (Frank Rehn Gallery, New York); purchased by the Indianapolis Museum of Art in 1932 (32.177).",http://www.imamuseum.org/art/collections/artwork/hotel-lobby-hopper-edward,Hotel Lobby,1882,1967,e4aa267c39d2
Afternoon - Yellow Room,http://www.imamuseum.org/art/collections/artwork/afternoon-yellow-room-frieseke-frederick-carl,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/d6/d6c08cdc-bf20-423f-863e-8a354001da98.jpg,"Frieseke, Frederick Carl",American,oil on canvas,,1910,"The colorful patterns and glowing sunshine are signature elements of Frieseke's work.
Frieseke's paintings of female figures made him one of America's most popular Impressionists.
The artist spent his summers painting at Giverny, France near the home of French Impressionist Claude Monet.","(R.C. and N.M. Vose, Boston); Mrs. John N. Carey; purchased by the Indianapolis Museum of Art in 1929 (29.71).",,,1874,1939,9a14c42d4c0d
"Washington Street, Indianapolis at Dusk",http://www.imamuseum.org/art/collections/artwork/washington-street-indianapolis-dusk-groll-theodor,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ae/aefeab30-cb90-4b8f-aeaf-1d5de4c5988e.jpg,"Groll, Theodor",German,oil on canvas,,1892-1895,"This cityscape features the State House, the brilliantly lighted Park Theatre, and Washington Street's bustling commercial life. ?The tower of the old Marion County Courthouse can be seen in the distance.
Groll, a German artist, came to judge the German paintings at the 1893 Chicago World's Fair and also spent time visiting relatives here.","The artist; Edgar Jetter, Verden; sold through Ben Weinref Ltd. and Sotheby's to Indianapolis Museum of Art 1972",,,1857,1913,e228845d3393
Herman and Verman,http://www.imamuseum.org/art/collections/artwork/herman-and-verman-poe-hugh-m,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e1/e1bb0758-e22e-4b48-8d6f-02bbf8288f8e.jpg,Hugh M. Poe,American,oil on canvas,,1924,"Herman and Verman are two characters from Hoosier author Booth Tarkington閳ユ ?trilogy of Penrod stories published between 1914 and 1929.
This candid, sensitive portrait won a certificate of merit at the Indiana artists annual exhibition at the Herron Art Institute in 1924.",,,,1902,1973,ce28f7a6923d
A Summer Day,http://www.imamuseum.org/art/collections/artwork/summer-day-twachtman-john-henry,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c6/c6a1ee8b-4215-4a0a-9903-cecf975c5360.jpg,"Twachtman, John Henry",American,oil on canvas,,about 1900,"The painting's complex color harmonies and crusty interwoven strokes infused with soft light exhibit the elements that make Twachtman a key American Impressionist.
This peaceful scene was painted on the artist's farm in Connecticut.",Purchased from the Inaugural Exhibition through the John Herron Fund - probably owned by the estate previously,,,1853,1902,80b1f913f117
At the End of the Porch,http://www.imamuseum.org/art/collections/artwork/end-porch-john-sharman,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/0c/0c816ef0-87cc-4090-b962-8f9d2b0df1f4.jpg,John Sharman,American,oil on canvas,,about 1918,"The intricate network of trellis, railing and awning are woven into an ordered composition.
Strokes of brilliant color are applied with a sensitivity to light and shade acquired from regular outdoor painting.
Sharman's current obscurity is hard to understand considering this beautiful scene.",Judge Alex Simpson Jr. 1919; Rosenbach Galleries Philadelphia...Mr. and Mrs. John G. Rauch Sr. of Indianapolis after 1925; purchased from Mrs. John G. Rauch Sr. 1981,,,1879,1971,a2b41fc95da1
Pioneer&#039;s House,http://www.imamuseum.org/art/collections/artwork/pioneers-house-daniel-garber,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/d8/d8b008e8-2a90-457f-9e74-499506d6a7d6.jpg,Daniel Garber,American,oil on canvas,,1929,"This is one of three paintings that Garber produced in the late 1920s near Brownsburgh, Pennsylvania.
Garber liked the ""stark quality"" of the setting, and the work's spareness and simplicity creates a sense of mystery.
Garber, an Indiana native, was closely associated with the New Hope art colony in Bucks County, Pennsylvania.",,http://www.imamuseum.org/art/collections/artwork/quarry-byram-daniel-garber,Quarry at Byram,1880,1958,9fd978029abd
