birthYear,image-URL,type,url,title,nationality,dimensions,artistName,credit,deathYear,EA_id
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.274_03_b03.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114593,"L.S.P. 36, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,d8626758365b
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.272_03_b03.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114591,"L.S.P. 37, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,1a906570cf5c
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.269_01_b04.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114588,"L.S.P. 38, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,5da342aaee21
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.279_01_b04.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114598,"L.S.P. 39, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,410e9f15d2c2
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.266_03_b03.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114585,"L.S.P. 4, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,2747fe02968a
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.18_01_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114306,"L.S.P. 40, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,d656f8671bae
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.270_03_b03.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114589,"L.S.P. 41, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,0f1bdcf29094
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.251_01_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114570,"L.S.P. 42, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,48206833b7cd
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.211_01_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114530,"L.S.P. 43, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,bb161ac28093
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.262_03_b03.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114581,"L.S.P. 44, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,59333b10e5a7
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.210_04_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114529,"L.S.P. 45, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,849e6c26970a
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.19_01_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114307,"L.S.P. 47, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,f7f54b45db69
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.216_01_b04.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114535,"L.S.P. 48, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,cc81d4e43912
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.265_01_b04.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114584,"L.S.P. 5, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,c16403c3625a
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.252_03_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114571,"L.S.P. 50, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,2f26b166270b
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.215_01_b04.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114534,"L.S.P. 52, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,8081038b3776
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.250_01_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114569,"L.S.P. 53, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,bcd73a086761
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.208_03_b03.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114527,"L.S.P. 54, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,0cfb2667a8bc
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.249_03_b03.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114568,"L.S.P. 55, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,e03660a4b670
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.180_04_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114499,"L.S.P. 56, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,5e873dcacbb5
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.257_01_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114576,"L.S.P. 57, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,1fc250c49e82
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.263_01_b04.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114582,"L.S.P. 6, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,8bf260a04973
1951,http://www.sfmoma.org/images/artwork/medium/2003.306.A.174_04_b02.jpg,photograph,http://www.sfmoma.org/explore/collection/artwork/114493,"L.S.P. 60, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,1a2b710af2ba
1951,,photograph,http://www.sfmoma.org/explore/collection/artwork/114526,"L.S.P. 61, from the series One Big Self: Prisoners of Louisiana",American,12.7 cm x 10.16 cm,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",,1aaa279eb22f
