title,name,nationality,birthDate,deathDate,production_id
Joy of the Waters,Harriet Whitney Frishmuth,American,1880,1980,3ca7bb3fd54a
Concave or Standing Woman,Alexander Archipenko,American,1887,1964,b1c968b72ba1
Henry Look Unhitching,Thomas Hart Benton,American,1889,1975,e9b4a439caca
"New York, New Haven and Hartford",Edward Hopper,American,1882,1967,0caf5452bcc9
Afternoon - Yellow Room,Frederick Carl Frieseke,American,1874,1939,93564637fb96
"Washington Street, Indianapolis at Dusk",Theodor Groll,German,1857,1913,a14e931bc3af
Herman and Verman,Hugh M. Poe,American,1902,1973,bb923b97adec
A Summer Day,John Henry Twachtman,American,1853,1902,0f8c23e54938
At the End of the Porch,John Sharman,American,1879,1971,1d7a3ca280da
Pioneer&#039;s House,Daniel Garber,American,1880,1958,146fce35d342
Quarry at Byram,Daniel Garber,American,1880,1958,8ca37f3597fd
Edna Smith in a Japanese Wrap,Robert Henri,American,1865,1929,7a501688176d
The Robe,Frederick Carl Frieseke,American,1874,1939,206e87c9287c
Tidying Up,Isabel Bishop,American,1902,1988,20673df7fb9f
Cliff Rock - Appledore,Childe Hassam,American,1859,1935,e3a61bab8167
Portrait of William Merritt Chase,James Carroll Beckwith,American,1852,1917,d48ecbc40730
Little Brown Girl,John W. Hardrick,American,1891,1968,37ea279eb82b
Monday Morning,Edmund Brucker,American,1912,1999,9ddca8326d09
Still Life,Julian Alden Weir,American,1852,1919,eb2aafe582ff
Red Kimono on the Roof,John Sloan,American,1871,1951,dda85b9d720d
Portrait of Mrs. Addison C. Harris,Cecilia Beaux,American,1855,1942,1722b08ac675
Bronco Buster,Frederic Remington,American,1861,1909,306256df9801
Poppies,Robert William Vonnoh,American,1858,1933,a071ca8c8c9b
Across the Harbor,Arthur Bowen Davies,American,1862,1928,1e44acd87d1e
Winter Landscape,Rockwell Kent,American,1882,1971,cfab2355b4de
Preparing for the Matinee,Edmund Charles Tarbell,American,1862,1938,4f28eaca5988
The Love Song,Norman Rockwell,American,1894,1978,0e2929850a87
The Artist&#039;s Party,Joseph Delaney,American,1904,1991,4754ac8fc8cb
Training for War,William H. Johnson,American,1901,1970,8efe686bf5a5
Girl Sweeping,William McGregor Paxton,American,1869,1941,99b5d947e89b
Gamin,Augusta Savage,American,1892,1962,88f74a662a92
The Blue Tiger,Horace Pippin,American,1888,1946,a92c1837584e
Early Morning Sunshine,Louis Ritman,American,1889,1963,c09fd8463793
Sunlight,Frank Weston Benson,American,1862,1951,178d5b61159d
"Rainy Night, Etaples",William Edouard Scott,American,1884,1964,aa82e4576061
Mushrooms on a Blue Background,Marsden Hartley,American,1877,1943,f4bac310f5e2
Above the Clouds,Ralph Albert Blakelock,American,1847,1919,0ac5ae1c2ba8
Wash Day,John Ottis Adams,American,1851,1927,a8c8be653742
Portrait of Clara Fisher,Henry Inman,American,1801,1846,a6065aad72b8
Diana,Augustus Saint-Gaudens,American,1848,1907,84f6eccb7326
"The Consecration, 1861",George Cochran Lambdin,American,1830,1896,9f6aebedef58
Portrait of Robert Louis Stevenson,Augustus Saint-Gaudens,American,1848,1907,90878ab24851
Pool in the Adirondacks,Ralph Albert Blakelock,American,1847,1919,b6dcd1be6113
Mountains and Valleys,Victor Higgins,American,1884,1949,3de3551dcf36
Dorothy,William Merritt Chase,American,1849,1916,8a0a2b06f89a
The Young Artist,Thomas Mickell Burnham,American,1818,1866,c96a784882e3
Summer Pastorale (View of Kallenfels),Worthington Whittredge,American,1820,1910,7c76c9189c3b
Girl at the Piano: Recording Sound,Theodore Roszak,American,1907,1981,d3c5cfa4796c
Morning at Grand Manan,Alfred Thompson Bricher,American,1837,1908,bd0f937fbc0e
The Flight of Europa,Paul Manship,American,1885,1966,61e4a6133e02
Woodcutters in Windsor Park,Benjamin West,American,1738,1820,8bb8a581980d
The Olive Grove,John Singer Sargent,American,1856,1925,083e6cef9bc9
Woman in White,Ruth P. Bobbs,American,1884,1973,7817f73e0fd0
Souvenir of the Columbian Exposition,Jacob Atkinson,American,1864,1938,9861eafab7c7
"Rondout, New York",Leon Dabo,American,1868,1960,429aefda49bb
Polling Landscape,Frank Duveneck,American,1848,1919,ddfd65f9c480
Pelvis with Distance,Georgia O&#039;Keeffe,American,1887,1986,6df66815a04d
Grey Hills,Georgia O&#039;Keeffe,American,1887,1986,8487d7c75dec
The Pioneers,Joshua Shaw,American,1776,1861,c75405fe319e
Ruth Gleaning,Randolph Rogers,American,1825,1892,067d543f7e4d
